source_song_id,note_from_song,start_time,end_time,instrument,key,start_beat,end_beat,note_value
1749,4666,26444190,26460190,1,60,1395.0,1.0,Quarter
1749,1754,9648798,9664798,1,72,509.0,0.5,Eighth
1749,1130,6156190,6172190,1,47,324.75,0.125,Thirty Second
1749,1565,8921758,8937758,1,57,463.0,0.1,Triplet Thirty Second
1749,3748,21075358,21091358,1,62,1120.0,0.0999999999999,Triplet Thirty Second
1749,2702,15415710,15431710,1,73,813.0,1.0,Quarter
1749,2578,14346654,14362654,1,64,756.875,0.125,Thirty Second
1749,207,1567390,1583390,1,80,69.0,1.0,Quarter
1749,4113,22316702,22332702,1,69,1196.0,0.0999999999999,Triplet Thirty Second
1749,3551,20192926,20208926,1,44,1066.0,2.0,Half
1749,1290,7442590,7458590,1,62,380.5,0.25,Sixteenth
1749,834,3997854,4013854,1,57,218.5,0.5,Eighth
1749,3870,21519774,21535774,1,69,1148.0,0.0999999999999,Triplet Thirty Second
1749,4977,28464798,28480798,1,42,1501.5,0.5,Eighth
1749,4505,25121438,25137438,1,48,1331.0,0.0999999999999,Triplet Thirty Second
1749,2378,12991902,13007902,1,48,688.875,0.125,Thirty Second
1749,3055,16857246,16873246,1,73,893.5,0.25,Sixteenth
1749,2224,12013214,12029214,1,77,641.0,2.0,Half
1749,1015,5551262,5567262,1,60,294.0,1.0,Quarter
1749,1063,5893278,5909278,1,60,309.0,0.1,Triplet Thirty Second
1749,1730,9546654,9562654,1,65,503.0,0.1,Triplet Thirty Second
1749,749,3574430,3590430,1,60,194.5,0.05,Triplet Sixty Fourth
1749,4680,26536094,26552094,1,62,1400.75,0.125,Thirty Second
1749,4300,23660958,23676958,1,64,1265.0,2.5,Half
1749,4031,22068894,22084894,1,70,1180.0,0.5,Eighth
1749,1871,10017694,10033694,1,45,531.0,1.0,Quarter
1749,4102,22293150,22309150,1,61,1194.5,0.05,Triplet Sixty Fourth
1749,2451,13425054,13441054,1,53,712.0,0.1,Triplet Thirty Second
1749,1623,9162654,9178654,1,60,478.5,0.05,Triplet Sixty Fourth
1749,1974,10360478,10376478,1,45,553.0,1.0,Quarter
1749,1719,9499806,9515806,1,62,500.0,0.1,Triplet Thirty Second
1749,2110,10972830,10988830,1,86,591.0,0.5,Eighth
1749,3,120478,136478,1,60,0.875,0.125,Eighth
1749,4404,24673950,24689950,1,48,1305.0,3.0,Dotted Half
1749,1527,8736670,8752670,1,93,453.0,0.1,Triplet Thirty Second
1749,663,3310750,3326750,1,65,177.0,1.0,Quarter
1749,1580,8983454,8999454,1,57,467.0,0.1,Triplet Thirty Second
1749,3706,20890014,20906014,1,52,1108.0,0.0999999999999,Triplet Thirty Second
1749,2342,12812190,12828190,1,55,678.0,0.1,Triplet Thirty Second
1749,5209,29467294,29483294,1,95,1560.0,1.0,Quarter
1749,4027,22057630,22073630,1,54,1179.0,1.0,Quarter
1749,5343,30284445,30300445,1,44,1597.0,2.0,Half
1749,4210,22802334,22818334,1,46,1224.0,0.5,Eighth
1749,5247,29673374,29689374,1,45,1569.0,3.0,Dotted Half
1749,5258,29751966,29767966,1,56,1574.0,1.0,Quarter
1749,770,3675806,3691806,1,74,200.0,0.1,Triplet Thirty Second
1749,604,3091358,3107358,1,64,163.0,1.0,Quarter
1749,3500,19856542,19872542,1,51,1046.0,0.5,Eighth
1749,4025,22057630,22073630,1,62,1179.0,1.0,Quarter
1749,4703,26678942,26694942,1,62,1408.0,1.0,Quarter
1749,2900,16255902,16271902,1,72,861.25,0.25,Sixteenth
1749,2669,15182750,15198750,1,50,799.0,2.0,Half
1749,1242,6922910,6938910,1,57,362.0,1.0,Quarter
1749,5048,28874142,28890142,1,29,1525.0,0.5,Eighth
1749,1900,10129054,10145054,1,67,538.0,1.0,Quarter
1749,2862,16099230,16115230,1,60,852.5,0.5,Eighth
1749,1504,8661662,8677662,1,81,448.0,1.0,Quarter
1749,1440,8341918,8357918,1,83,428.5,0.5,Eighth
1749,3528,20013470,20029470,1,61,1055.0,2.0,Half
1749,2976,16557214,16573214,1,65,877.0,0.25,Sixteenth
1749,4365,24322718,24338718,1,47,1293.0,1.0,Quarter
1749,4129,22423198,22439198,1,76,1201.0,0.5,Eighth
1749,5000,28599454,28615454,1,42,1509.5,0.5,Eighth
1749,3813,21315742,21331742,1,65,1135.0,0.0999999999999,Triplet Thirty Second
1749,625,3164318,3180318,1,88,168.0,0.5,Eighth
1749,3312,18489758,18505758,1,41,973.0,3.0,Dotted Half
1749,4118,22343838,22359838,1,40,1197.0,1.0,Quarter
1749,892,4278942,4294942,1,75,236.0,0.1,Triplet Thirty Second
1749,1427,8311710,8327710,1,59,426.0,1.0,Quarter
1749,3669,20705182,20721182,1,59,1097.0,1.0,Quarter
1749,2204,11905438,11921438,1,68,637.0,0.1,Triplet Thirty Second
1749,1071,5910686,5926686,1,59,310.0,0.1,Triplet Thirty Second
1749,1034,5597086,5613086,1,51,296.0,1.0,Quarter
1749,2649,15016350,15032350,1,64,790.5,0.5,Eighth
1749,436,2559390,2575390,1,55,131.0,0.1,Triplet Thirty Second
1749,1142,6229406,6245406,1,60,328.875,0.125,Thirty Second
1749,909,4577182,4593182,1,75,252.875,0.125,Thirty Second
1749,5178,29363102,29379102,1,40,1554.0,1.0,Quarter
1749,684,3389854,3405854,1,77,182.5,0.5,Eighth
1749,1128,6116254,6132254,1,55,322.5,0.05,Triplet Sixty Fourth
1749,4473,24996254,25012254,1,52,1324.0,1.0,Quarter
1749,4483,25055646,25071646,1,60,1327.0,1.0,Quarter
1749,5342,30284445,30300445,1,40,1597.0,2.0,Half
1749,1278,7269790,7285790,1,40,373.0,3.0,Dotted Half
1749,3677,20742558,20758558,1,59,1099.0,1.0,Quarter
1749,4015,22011806,22027806,1,54,1176.0,1.0,Quarter
1749,2069,10783134,10799134,1,57,578.5,0.5,Eighth
1749,2220,12021406,12037406,1,67,641.0,3.0,Dotted Half
1749,3843,21408158,21424158,1,65,1141.0,0.0999999999999,Triplet Thirty Second
1749,1813,9760414,9776414,1,55,516.0,0.1,Triplet Thirty Second
1749,750,3574430,3590430,1,57,194.5,0.05,Triplet Sixty Fourth
1749,2957,16495006,16511006,1,68,873.25,0.25,Sixteenth
1749,2141,11205022,11221022,1,74,604.0,0.1,Triplet Thirty Second
1749,3039,16804766,16820766,1,69,890.5,0.25,Sixteenth
1749,5340,30284445,30300445,1,71,1597.0,2.0,Half
1749,5346,30370717,30386717,1,69,1601.0,2.0,Half
1749,2253,12324509,12340509,1,48,654.0,1.0,Quarter
