source_song_id,note_from_song,start_time,end_time,instrument,key,start_beat,end_beat,note_value
1749,4666,26442206,26462174,1,60,1395.0,1.0,Quarter
1749,1754,9652190,9661406,1,72,509.0,0.5,Eighth
1749,1130,6163422,6164957,1,47,324.75,0.125,Thirty Second
1749,1565,8929246,8930270,1,57,463.0,0.1,Triplet Thirty Second
1749,3748,21082590,21084126,1,62,1120.0,0.0999999999999,Triplet Thirty Second
1749,2702,15416286,15431134,1,73,813.0,1.0,Quarter
1749,2578,14353885,14355422,1,64,756.875,0.125,Thirty Second
1749,207,1567198,1583582,1,80,69.0,1.0,Quarter
1749,4113,22324190,22325214,1,69,1196.0,0.0999999999999,Triplet Thirty Second
1749,3551,20184542,20217310,1,44,1066.0,2.0,Half
1749,1290,7447006,7454174,1,62,380.5,0.25,Sixteenth
1749,834,4001758,4009950,1,57,218.5,0.5,Eighth
1749,3870,21527006,21528542,1,69,1148.0,0.0999999999999,Triplet Thirty Second
1749,4977,28469214,28476382,1,42,1501.5,0.5,Eighth
1749,4505,25128926,25129950,1,48,1331.0,0.0999999999999,Triplet Thirty Second
1749,2378,12997598,13002206,1,48,688.875,0.125,Thirty Second
1749,3055,16862686,16867806,1,73,893.5,0.25,Sixteenth
1749,2224,11998174,12044254,1,77,641.0,2.0,Half
1749,1015,5545950,5572574,1,60,294.0,1.0,Quarter
1749,1063,5900766,5901790,1,60,309.0,0.1,Triplet Thirty Second
1749,1730,9553374,9555934,1,65,503.0,0.1,Triplet Thirty Second
1749,749,3581918,3582942,1,60,194.5,0.05,Triplet Sixty Fourth
1749,4680,26543070,26545118,1,62,1400.75,0.125,Thirty Second
1749,4300,23636958,23700958,1,64,1265.0,2.5,Half
1749,4031,22073310,22080478,1,70,1180.0,0.5,Eighth
1749,1871,10018782,10032606,1,45,531.0,1.0,Quarter
1749,4102,22300638,22301662,1,61,1194.5,0.05,Triplet Sixty Fourth
1749,2451,13432286,13433822,1,53,712.0,0.1,Triplet Thirty Second
1749,1623,9170398,9170910,1,60,478.5,0.05,Triplet Sixty Fourth
1749,1974,10361310,10375646,1,45,553.0,1.0,Quarter
1749,1719,9507294,9508318,1,62,500.0,0.1,Triplet Thirty Second
1749,2110,10976734,10984926,1,86,591.0,0.5,Eighth
1749,3,127454,129501,1,60,0.875,0.125,Eighth
1749,4404,24656862,24707038,1,48,1305.0,3.0,Dotted Half
1749,1527,8743902,8745438,1,93,453.0,0.1,Triplet Thirty Second
1749,663,3311581,3325918,1,65,177.0,1.0,Quarter
1749,1580,8990686,8992222,1,57,467.0,0.1,Triplet Thirty Second
1749,3706,20897246,20898782,1,52,1108.0,0.0999999999999,Triplet Thirty Second
1749,2342,12819422,12820957,1,55,678.0,0.1,Triplet Thirty Second
1749,5209,29465054,29485534,1,95,1560.0,1.0,Quarter
1749,4027,22057950,22073310,1,54,1179.0,1.0,Quarter
1749,5343,30262749,30322142,1,44,1597.0,2.0,Half
1749,4210,22806494,22814173,1,46,1224.0,0.5,Eighth
1749,5247,29650910,29711838,1,45,1569.0,3.0,Dotted Half
1749,5258,29748190,29771742,1,56,1574.0,1.0,Quarter
1749,770,3682782,3684830,1,74,200.0,0.1,Triplet Thirty Second
1749,604,3091422,3107294,1,64,163.0,1.0,Quarter
1749,3500,19860958,19868126,1,51,1046.0,0.5,Eighth
1749,4025,22057950,22073310,1,62,1179.0,1.0,Quarter
1749,4703,26677726,26696158,1,62,1408.0,1.0,Quarter
1749,2900,16261598,16266206,1,72,861.25,0.25,Sixteenth
1749,2669,15171550,15209950,1,50,799.0,2.0,Half
1749,1242,6918622,6943198,1,57,362.0,1.0,Quarter
1749,5048,28877790,28886494,1,29,1525.0,0.5,Eighth
1749,1900,10130398,10143710,1,67,538.0,1.0,Quarter
1749,2862,16103389,16111070,1,60,852.5,0.5,Eighth
1749,1504,8659934,8679390,1,81,448.0,1.0,Quarter
1749,1440,8345566,8354270,1,83,428.5,0.5,Eighth
1749,3528,20003294,20039646,1,61,1055.0,2.0,Half
1749,2976,16563678,16566750,1,65,877.0,0.25,Sixteenth
1749,4365,24318942,24342494,1,47,1293.0,1.0,Quarter
1749,4129,22423518,22438878,1,76,1201.0,0.5,Eighth
1749,5000,28603357,28611550,1,42,1509.5,0.5,Eighth
1749,3813,21323230,21324254,1,65,1135.0,0.0999999999999,Triplet Thirty Second
1749,625,3168734,3175902,1,88,168.0,0.5,Eighth
1749,3312,18468318,18527198,1,41,973.0,3.0,Dotted Half
